graph,log10_T,T,spearman,kendall,precision_at_10,precision_at_50,precision_at_100,weighted_kendall_inverse,weighted_kendall_inverse_square,weighted_kendall_log,weighted_spearman_inverse,weighted_spearman_inverse_square,weighted_spearman_log
random,3,1000,0.574416,0.42216616616616615,0.1,0.14,0.24,0.3033710835885683,0.14484949319285517,0.4054094153258904,0.32783999230037253,0.14452906359696407,0.5373154732842774
random,4,10000,0.377072,0.2692632632632632,0.2,0.36,0.45,0.16380975896158723,0.11679719907943104,0.24882254860784409,0.18396842532629765,0.11668400307337042,0.34489063902848327
random,5,100000,0.146388,0.10441841841841842,0.6,0.74,0.77,0.03288537118466295,0.0039511491484143235,0.09115858595079196,0.04199788446850401,0.004116883357262786,0.1302006433076033
random,6,1000000,0.04892,0.03427027027027024,0.9,0.88,0.95,0.009082474213170655,0.0016814608768383477,0.029200528172847906,0.013152198320165537,0.0020303954299651524,0.04319262968208962
random,7,10000000,0.015668,0.010558558558558528,0.9,0.98,0.97,0.002590867237648453,7.691433713108431e-05,0.008972174632834506,0.0040535507863625015,0.00011830739858000727,0.013856846676928783
