graph,log10_T,T,spearman,kendall,weighted_spearman_inverse,weighted_spearman_inverse_square,weighted_spearman_log,precision_at_10,precision_at_50,precision_at_100
wiki_vote,4,10000,0.3769308726761456,0.302379420307092,0.06786116869928457,0.0005835628488271646,0.3448460201406957,0.7,0.68,0.76
wiki_vote,5,100000,0.3444041414667703,0.2578910943571128,0.04283346669300596,0.0001695326414488862,0.3055845240453482,0.9,0.86,0.9
wiki_vote,6,1000000,0.31139012402686955,0.23148396824647333,0.034431156162170365,7.624039257324182e-05,0.273839539887463,1.0,0.98,0.97
wiki_vote,7,10000000,0.30091161321531,0.22683623850193152,0.03215906921180283,5.6554223080559384e-05,0.264025965382775,1.0,0.98,0.99
